District ID,District Name,School Year,Number Eligible for Free/ Reduced Price Lunch,Total Enrollment,Percent Eligible for Free/ Reduced Lunch
288,Achievement First Hartford Academy Inc.,2010-11,521,610,85.4
279,Amistad Academy District,2010-11,596,812,73.4
1,Andover School District,2010-11,39,334,11.7
2,Ansonia School District,2010-11,1581,2619,60.4
244,Area Cooperative Educational Services,2010-11,676,1366,49.5
3,Ashford School District,2010-11,109,476,22.9
4,Avon School District,2010-11,190,3545,5.4
5,Barkhamsted School District,2010-11,24,343,7
7,Berlin School District,2010-11,274,3116,8.8
8,Bethany School District,2010-11,23,511,4.5
9,Bethel School District,2010-11,407,2938,13.9
11,Bloomfield School District,2010-11,1032,2196,47
12,Bolton School District,2010-11,101,897,11.3
13,Bozrah School District,2010-11,43,234,18.4
14,Branford School District,2010-11,631,3363,18.8
285,Bridgeport Achievement First,2010-11,299,409,73.1
15,Bridgeport School District,2010-11,19844,20087,98.8
17,Bristol School District,2010-11,3423,8549,40
18,Brookfield School District,2010-11,165,2870,5.7
19,Brooklyn School District,2010-11,218,947,23
21,Canaan School District,2010-11,8,86,9.3
22,Canterbury School District,2010-11,110,524,21
23,Canton School District,2010-11,110,1777,6.2
241,Capitol Region Education Council,2010-11,1828,4241,43.1
24,Chaplin School District,2010-11,50,187,26.7
287,Charter School for Young Children on Asylum Hill,2010-11,85,225,37.8
25,Cheshire School District,2010-11,278,4770,5.8
26,Chester School District,2010-11,29,275,10.5
27,Clinton School District,2010-11,276,2029,13.6
28,Colchester School District,2010-11,350,3069,11.4
29,Colebrook School District,2010-11,16,112,14.3
30,Columbia School District,2010-11,59,539,10.9
268,Common Ground High School District,2010-11,86,163,52.8
900,Connecticut Technical High School System,2010-11,3990,10643,37.5
243,Cooperative Educational Services,2010-11,139,452,30.8
31,Cornwall School District,2010-11,13,115,11.3
32,Coventry School District,2010-11,311,1822,17.1
33,Cromwell School District,2010-11,297,2016,14.7
34,Danbury School District,2010-11,4657,10343,45
35,Darien School District,2010-11,59,4820,1.2
36,Deep River School District,2010-11,53,351,15.1
37,Derby School District,2010-11,740,1463,50.6
40,East Granby School District,2010-11,31,889,3.5
41,East Haddam School District,2010-11,160,1335,12
42,East Hampton School District,2010-11,224,1958,11.4
43,East Hartford School District,2010-11,3905,6624,59
44,East Haven School District,2010-11,1431,3386,42.3
45,East Lyme School District,2010-11,298,3017,9.9
47,East Windsor School District,2010-11,456,1329,34.3
253,Eastern Connecticut Regional Educational Service Center,2010-11,49,217,22.6
39,Eastford School District,2010-11,17,178,9.6
46,Easton School District,2010-11,16,1098,1.5
48,Ellington School District,2010-11,229,2726,8.4
289,Elm City College Preparatory School,2010-11,430,585,73.5
49,Enfield School District,2010-11,1684,5766,29.2
50,Essex School District,2010-11,37,591,6.3
272,Explorations District,2010-11,36,80,45
51,Fairfield School District,2010-11,918,10064,9.1
52,Farmington School District,2010-11,315,4053,7.8
53,Franklin School District,2010-11,29,222,13.1
54,Glastonbury School District,2010-11,498,6797,7.3
56,Granby School District,2010-11,164,2235,7.3
57,Greenwich School District,2010-11,1166,8842,13.2
58,Griswold School District,2010-11,594,2005,29.6
59,Groton School District,2010-11,1752,4965,35.3
60,Guilford School District,2010-11,235,3678,6.4
62,Hamden School District,2010-11,2212,5897,37.5
63,Hampton School District,2010-11,26,139,18.7
64,Hartford School District,2010-11,18947,20899,90.7
65,Hartland School District,2010-11,6,221,2.7
67,Hebron School District,2010-11,55,1135,4.8
286,Highville Charter School District,2010-11,223,300,74.3
264,Integrated Day Charter School District,2010-11,93,331,28.1
265,Interdistrict School for Arts and Comm District,2010-11,128,182,70.3
261,Jumoke Academy District,2010-11,287,432,66.4
68,Kent School District,2010-11,37,287,12.9
69,Killingly School District,2010-11,1087,2578,42.2
245,Learn,2010-11,641,1265,50.7
71,Lebanon School District,2010-11,171,1403,12.2
72,Ledyard School District,2010-11,335,2612,12.8
73,Lisbon School District,2010-11,103,534,19.3
74,Litchfield School District,2010-11,110,1169,9.4
76,Madison School District,2010-11,128,3563,3.6
77,Manchester School District,2010-11,3297,6526,50.5
78,Mansfield School District,2010-11,306,1326,23.1
79,Marlborough School District,2010-11,42,673,6.2
80,Meriden School District,2010-11,5514,8279,66.6
83,Middletown School District,2010-11,2175,5189,41.9
84,Milford School District,2010-11,1085,6958,15.6
85,Monroe School District,2010-11,280,3745,7.5
86,Montville School District,2010-11,748,2638,28.4
88,Naugatuck School District,2010-11,1758,4525,38.9
280,"New Beginnings Inc., Family Academy District",2010-11,296,360,82.2
89,New Britain School District,2010-11,7311,10054,72.7
91,New Fairfield School District,2010-11,264,2919,9
92,New Hartford School District,2010-11,35,608,5.8
93,New Haven School District,2010-11,14810,19048,77.8
95,New London School District,2010-11,2586,3040,85.1
96,New Milford School District,2010-11,744,4744,15.7
94,Newington School District,2010-11,746,4416,16.9
97,Newtown School District,2010-11,323,5363,6
98,Norfolk School District,2010-11,10,134,7.5
99,North Branford School District,2010-11,312,2286,13.6
100,North Canaan School District,2010-11,77,318,24.2
101,North Haven School District,2010-11,315,3576,8.8
102,North Stonington School District,2010-11,136,796,17.1
103,Norwalk School District,2010-11,4769,11050,43.2
901,Norwich Free Academy,2010-11,480,2381,20.2
104,Norwich School District,2010-11,2630,3754,70.1
263,Odyssey Community School District,2010-11,57,181,31.5
106,Old Saybrook School District,2010-11,208,1569,13.3
107,Orange School District,2010-11,36,1277,2.8
108,Oxford School District,2010-11,178,2197,8.1
283,Park City Prep Charter School,2010-11,158,250,63.2
109,Plainfield School District,2010-11,975,2604,37.4
110,Plainville School District,2010-11,552,2417,22.8
111,Plymouth School District,2010-11,453,1727,26.2
112,Pomfret School District,2010-11,59,513,11.5
113,Portland School District,2010-11,191,1404,13.6
114,Preston School District,2010-11,67,430,15.6
116,Putnam School District,2010-11,732,1287,56.9
117,Redding School District,2010-11,28,1243,2.3
201,Regional School District 01,2010-11,100,502,19.9
204,Regional School District 04,2010-11,76,973,7.8
205,Regional School District 05,2010-11,71,2475,2.9
206,Regional School District 06,2010-11,126,1042,12.1
207,Regional School District 07,2010-11,60,1092,5.5
208,Regional School District 08,2010-11,113,1765,6.4
209,Regional School District 09,2010-11,15,968,1.5
210,Regional School District 10,2010-11,109,2755,4
211,Regional School District 11,2010-11,66,274,24.1
212,Regional School District 12,2010-11,63,912,6.9
213,Regional School District 13,2010-11,118,2036,5.8
214,Regional School District 14,2010-11,170,2038,8.3
215,Regional School District 15,2010-11,170,4417,3.8
216,Regional School District 16,2010-11,314,2536,12.4
217,Regional School District 17,2010-11,167,2473,6.8
218,Regional School District 18,2010-11,107,1493,7.2
219,Regional School District 19,2010-11,154,1189,13
118,Ridgefield School District,2010-11,111,5419,2
119,Rocky Hill School District,2010-11,266,2576,10.3
121,Salem School District,2010-11,33,461,7.2
122,Salisbury School District,2010-11,32,310,10.3
123,Scotland School District,2010-11,17,143,11.9
124,Seymour School District,2010-11,560,2410,23.2
125,Sharon School District,2010-11,37,197,18.8
126,Shelton School District,2010-11,853,5286,16.1
127,Sherman School District,2010-11,27,408,6.6
270,Side By Side Community School District,2010-11,114,233,48.9
128,Simsbury School District,2010-11,318,4756,6.7
129,Somers School District,2010-11,86,1630,5.3
132,South Windsor School District,2010-11,367,4553,8.1
131,Southington School District,2010-11,680,6790,10
133,Sprague School District,2010-11,149,371,40.2
134,Stafford School District,2010-11,509,1854,27.5
282,Stamford Academy,2010-11,122,138,88.4
135,Stamford School District,2010-11,7405,15281,48.5
136,Sterling School District,2010-11,154,482,32
137,Stonington School District,2010-11,214,2468,8.7
138,Stratford School District,2010-11,2747,7270,37.8
139,Suffield School District,2010-11,226,2499,9
269,The Bridge Academy District,2010-11,223,271,82.3
902,The Gilbert School,2010-11,119,325,36.6
140,Thomaston School District,2010-11,172,1121,15.3
141,Thompson School District,2010-11,382,1263,30.2
142,Tolland School District,2010-11,138,3046,4.5
143,Torrington School District,2010-11,1918,4507,42.6
278,Trailblazers Academy District,2010-11,148,162,91.4
144,Trumbull School District,2010-11,425,6744,6.3
145,Union School District,2010-11,3,81,3.7
146,Vernon School District,2010-11,1202,3583,33.5
147,Voluntown School District,2010-11,51,312,16.3
148,Wallingford School District,2010-11,769,6538,11.8
151,Waterbury School District,2010-11,14123,17694,79.8
152,Waterford School District,2010-11,347,2800,12.4
153,Watertown School District,2010-11,511,3175,16.1
155,West Hartford School District,2010-11,1898,10190,18.6
156,West Haven School District,2010-11,3566,6194,57.6
154,Westbrook School District,2010-11,101,946,10.7
157,Weston School District,2010-11,45,2521,1.8
158,Westport School District,2010-11,173,5720,3
159,Wethersfield School District,2010-11,628,3792,16.6
160,Willington School District,2010-11,93,511,18.2
161,Wilton School District,2010-11,50,4315,1.2
162,Winchester School District,2010-11,395,942,41.9
163,Windham School District,2010-11,2358,3124,75.5
165,Windsor Locks School District,2010-11,566,1785,31.7
164,Windsor School District,2010-11,1015,3613,28.1
166,Wolcott School District,2010-11,531,2738,19.4
167,Woodbridge School District,2010-11,31,723,4.3
903,Woodstock Academy,2010-11,47,1096,4.3
169,Woodstock School District,2010-11,95,925,10.3
288,Achievement First Hartford Academy Inc.,2009-10,300,440,68.2
279,Amistad Academy District,2009-10,493,744,66.3
1,Andover School District,2009-10,34,336,10.1
2,Ansonia School District,2009-10,1590,2725,58.3
244,Area Cooperative Educational Services,2009-10,727,1473,49.4
3,Ashford School District,2009-10,104,475,21.9
4,Avon School District,2009-10,149,3586,4.2
5,Barkhamsted School District,2009-10,17,345,4.9
7,Berlin School District,2009-10,199,3159,6.3
8,Bethany School District,2009-10,20,515,3.9
9,Bethel School District,2009-10,409,3042,13.4
11,Bloomfield School District,2009-10,1023,2280,44.9
12,Bolton School District,2009-10,77,880,8.8
13,Bozrah School District,2009-10,42,256,16.4
14,Branford School District,2009-10,654,3444,19
285,Bridgeport Achievement First,2009-10,159,238,66.8
15,Bridgeport School District,2009-10,19616,19933,98.4
17,Bristol School District,2009-10,3320,8659,38.3
18,Brookfield School District,2009-10,134,2898,4.6
19,Brooklyn School District,2009-10,204,962,21.2
21,Canaan School District,2009-10,11,95,11.6
22,Canterbury School District,2009-10,100,551,18.1
23,Canton School District,2009-10,80,1762,4.5
241,Capitol Region Education Council,2009-10,1467,3565,41.2
24,Chaplin School District,2009-10,25,173,14.5
287,Charter School for Young Children on Asylum Hill,2009-10,73,185,39.5
25,Cheshire School District,2009-10,264,4932,5.4
26,Chester School District,2009-10,27,299,9
27,Clinton School District,2009-10,256,2024,12.6
28,Colchester School District,2009-10,292,3204,9.1
29,Colebrook School District,2009-10,17,119,14.3
30,Columbia School District,2009-10,39,554,7
268,Common Ground High School District,2009-10,95,160,59.4
900,Connecticut Technical High School System,2009-10,3626,10469,34.6
243,Cooperative Educational Services,2009-10,105,439,23.9
31,Cornwall School District,2009-10,7,122,5.7
32,Coventry School District,2009-10,303,1898,16
33,Cromwell School District,2009-10,275,2048,13.4
34,Danbury School District,2009-10,3418,10186,33.6
35,Darien School District,2009-10,51,4784,1.1
36,Deep River School District,2009-10,43,349,12.3
37,Derby School District,2009-10,732,1449,50.5
40,East Granby School District,2009-10,17,904,1.9
41,East Haddam School District,2009-10,143,1386,10.3
42,East Hampton School District,2009-10,183,2018,9.1
43,East Hartford School District,2009-10,4304,6773,63.5
44,East Haven School District,2009-10,1244,3475,35.8
45,East Lyme School District,2009-10,235,3047,7.7
47,East Windsor School District,2009-10,400,1379,29
253,Eastern Connecticut Regional Educational Service Center,2009-10,32,158,20.3
39,Eastford School District,2009-10,12,170,7.1
46,Easton School District,2009-10,17,1114,1.5
48,Ellington School District,2009-10,203,2667,7.6
289,Elm City College Preparatory School,2009-10,378,547,69.1
49,Enfield School District,2009-10,1695,5988,28.3
50,Essex School District,2009-10,38,593,6.4
272,Explorations District,2009-10,20,80,25
51,Fairfield School District,2009-10,846,9973,8.5
52,Farmington School District,2009-10,322,4085,7.9
53,Franklin School District,2009-10,24,224,10.7
54,Glastonbury School District,2009-10,486,6816,7.1
56,Granby School District,2009-10,82,2275,3.6
57,Greenwich School District,2009-10,1037,8847,11.7
58,Griswold School District,2009-10,602,2060,29.2
59,Groton School District,2009-10,1712,5029,34
60,Guilford School District,2009-10,254,3711,6.8
62,Hamden School District,2009-10,1895,5844,32.4
63,Hampton School District,2009-10,22,143,15.4
64,Hartford School District,2009-10,19552,21106,92.6
65,Hartland School District,2009-10,7,227,3.1
67,Hebron School District,2009-10,46,1172,3.9
286,Highville Charter School District,2009-10,203,303,67
264,Integrated Day Charter School District,2009-10,66,330,20
265,Interdistrict School for Arts and Comm District,2009-10,132,182,72.5
261,Jumoke Academy District,2009-10,313,434,72.1
68,Kent School District,2009-10,32,282,11.3
69,Killingly School District,2009-10,1070,2583,41.4
245,Learn,2009-10,494,1088,45.4
71,Lebanon School District,2009-10,200,1447,13.8
72,Ledyard School District,2009-10,385,2661,14.5
73,Lisbon School District,2009-10,100,567,17.6
74,Litchfield School District,2009-10,125,1201,10.4
76,Madison School District,2009-10,104,3635,2.9
77,Manchester School District,2009-10,3117,6601,47.2
78,Mansfield School District,2009-10,250,1271,19.7
79,Marlborough School District,2009-10,32,669,4.8
80,Meriden School District,2009-10,5198,8361,62.2
83,Middletown School District,2009-10,2052,5165,39.7
84,Milford School District,2009-10,1199,7135,16.8
85,Monroe School District,2009-10,204,3894,5.2
86,Montville School District,2009-10,657,2668,24.6
88,Naugatuck School District,2009-10,1763,4780,36.9
280,"New Beginnings Inc., Family Academy District",2009-10,278,360,77.2
89,New Britain School District,2009-10,7796,10155,76.8
91,New Fairfield School District,2009-10,210,3029,6.9
92,New Hartford School District,2009-10,51,625,8.2
93,New Haven School District,2009-10,15048,18726,80.4
95,New London School District,2009-10,2823,2977,94.8
96,New Milford School District,2009-10,676,4857,13.9
94,Newington School District,2009-10,794,4467,17.8
97,Newtown School District,2009-10,254,5403,4.7
98,Norfolk School District,2009-10,11,137,8
99,North Branford School District,2009-10,283,2338,12.1
100,North Canaan School District,2009-10,50,328,15.2
101,North Haven School District,2009-10,301,3683,8.2
102,North Stonington School District,2009-10,147,791,18.6
103,Norwalk School District,2009-10,4301,10856,39.6
901,Norwich Free Academy,2009-10,432,2421,17.8
104,Norwich School District,2009-10,2507,3804,65.9
263,Odyssey Community School District,2009-10,72,180,40
106,Old Saybrook School District,2009-10,185,1591,11.6
107,Orange School District,2009-10,47,1297,3.6
108,Oxford School District,2009-10,163,2156,7.6
283,Park City Prep Charter School,2009-10,137,242,56.6
109,Plainfield School District,2009-10,889,2722,32.7
110,Plainville School District,2009-10,637,2482,25.7
111,Plymouth School District,2009-10,388,1782,21.8
112,Pomfret School District,2009-10,55,532,10.3
113,Portland School District,2009-10,145,1436,10.1
114,Preston School District,2009-10,58,431,13.5
116,Putnam School District,2009-10,651,1225,53.1
117,Redding School District,2009-10,19,1265,1.5
201,Regional School District 01,2009-10,74,510,14.5
204,Regional School District 04,2009-10,78,972,8
205,Regional School District 05,2009-10,24,2483,1
206,Regional School District 06,2009-10,95,1057,9
207,Regional School District 07,2009-10,70,1099,6.4
208,Regional School District 08,2009-10,108,1729,6.2
209,Regional School District 09,2009-10,7,958,0.7
210,Regional School District 10,2009-10,103,2817,3.7
211,Regional School District 11,2009-10,48,291,16.5
212,Regional School District 12,2009-10,47,939,5
213,Regional School District 13,2009-10,94,2084,4.5
214,Regional School District 14,2009-10,157,2085,7.5
215,Regional School District 15,2009-10,140,4542,3.1
216,Regional School District 16,2009-10,293,2585,11.3
217,Regional School District 17,2009-10,162,2500,6.5
218,Regional School District 18,2009-10,112,1481,7.6
219,Regional School District 19,2009-10,145,1197,12.1
118,Ridgefield School District,2009-10,108,5442,2
119,Rocky Hill School District,2009-10,232,2640,8.8
121,Salem School District,2009-10,23,490,4.7
122,Salisbury School District,2009-10,28,311,9
123,Scotland School District,2009-10,31,161,19.3
124,Seymour School District,2009-10,541,2426,22.3
125,Sharon School District,2009-10,34,205,16.6
126,Shelton School District,2009-10,850,5458,15.6
127,Sherman School District,2009-10,13,444,2.9
270,Side By Side Community School District,2009-10,112,232,48.3
128,Simsbury School District,2009-10,312,4865,6.4
129,Somers School District,2009-10,96,1650,5.8
132,South Windsor School District,2009-10,401,4654,8.6
131,Southington School District,2009-10,659,6798,9.7
133,Sprague School District,2009-10,127,351,36.2
134,Stafford School District,2009-10,469,1839,25.5
282,Stamford Academy,2009-10,111,131,84.7
135,Stamford School District,2009-10,5998,14995,40
136,Sterling School District,2009-10,160,507,31.6
137,Stonington School District,2009-10,253,2499,10.1
138,Stratford School District,2009-10,2167,7309,29.6
139,Suffield School District,2009-10,174,2558,6.8
269,The Bridge Academy District,2009-10,205,263,77.9
902,The Gilbert School,2009-10,122,381,32
140,Thomaston School District,2009-10,212,1168,18.2
141,Thompson School District,2009-10,382,1324,28.9
142,Tolland School District,2009-10,118,3152,3.7
143,Torrington School District,2009-10,1771,4631,38.2
278,Trailblazers Academy District,2009-10,141,164,86
144,Trumbull School District,2009-10,405,6739,6
145,Union School District,2009-10,1,78,1.3
146,Vernon School District,2009-10,1024,3669,27.9
147,Voluntown School District,2009-10,60,300,20
148,Wallingford School District,2009-10,727,6646,10.9
151,Waterbury School District,2009-10,14069,17666,79.6
152,Waterford School District,2009-10,363,2866,12.7
153,Watertown School District,2009-10,499,3237,15.4
155,West Hartford School District,2009-10,1816,10171,17.9
156,West Haven School District,2009-10,2819,6234,45.2
154,Westbrook School District,2009-10,106,972,10.9
157,Weston School District,2009-10,34,2552,1.3
158,Westport School District,2009-10,153,5661,2.7
159,Wethersfield School District,2009-10,609,3810,16
160,Willington School District,2009-10,73,543,13.4
161,Wilton School District,2009-10,46,4341,1.1
162,Winchester School District,2009-10,434,961,45.2
163,Windham School District,2009-10,2344,3196,73.3
165,Windsor Locks School District,2009-10,552,1802,30.6
164,Windsor School District,2009-10,1066,3758,28.4
166,Wolcott School District,2009-10,485,2751,17.6
167,Woodbridge School District,2009-10,28,733,3.8
903,Woodstock Academy,2009-10,86,1153,7.5
169,Woodstock School District,2009-10,106,917,11.6
288,Achievement First Hartford Academy Inc.,2008-09,163,254,64.2
279,Amistad Academy District,2008-09,369,641,57.6
1,Andover School District,2008-09,22,334,6.6
2,Ansonia School District,2008-09,1455,2674,54.4
244,Area Cooperative Educational Services,2008-09,650,1463,44.4
3,Ashford School District,2008-09,92,485,19
4,Avon School District,2008-09,113,3558,3.2
5,Barkhamsted School District,2008-09,25,341,7.3
7,Berlin School District,2008-09,226,3218,7
8,Bethany School District,2008-09,15,549,2.7
9,Bethel School District,2008-09,339,3073,11
11,Bloomfield School District,2008-09,991,2158,45.9
12,Bolton School District,2008-09,55,861,6.4
13,Bozrah School District,2008-09,33,256,12.9
14,Branford School District,2008-09,602,3402,17.7
285,Bridgeport Achievement First,2008-09,115,160,71.9
15,Bridgeport School District,2008-09,19855,20254,98
17,Bristol School District,2008-09,3221,8789,36.6
18,Brookfield School District,2008-09,81,2945,2.8
19,Brooklyn School District,2008-09,199,981,20.3
21,Canaan School District,2008-09,8,85,9.4
22,Canterbury School District,2008-09,107,599,17.9
23,Canton School District,2008-09,60,1748,3.4
241,Capitol Region Education Council,2008-09,1000,3035,32.9
24,Chaplin School District,2008-09,40,178,22.5
25,Cheshire School District,2008-09,261,4982,5.2
26,Chester School District,2008-09,20,319,6.3
27,Clinton School District,2008-09,245,2084,11.8
28,Colchester School District,2008-09,330,3180,10.4
29,Colebrook School District,2008-09,13,116,11.2
30,Columbia School District,2008-09,42,574,7.3
268,Common Ground High School District,2008-09,105,155,67.7
900,Connecticut Technical High School System,2008-09,3509,10257,34.2
243,Cooperative Educational Services,2008-09,93,430,21.6
31,Cornwall School District,2008-09,11,122,9
32,Coventry School District,2008-09,235,1938,12.1
33,Cromwell School District,2008-09,233,2019,11.5
34,Danbury School District,2008-09,2954,10041,29.4
35,Darien School District,2008-09,79,4721,1.7
36,Deep River School District,2008-09,38,353,10.8
37,Derby School District,2008-09,678,1462,46.4
40,East Granby School District,2008-09,11,898,1.2
41,East Haddam School District,2008-09,124,1423,8.7
42,East Hampton School District,2008-09,151,2048,7.4
43,East Hartford School District,2008-09,4175,6788,61.5
44,East Haven School District,2008-09,1152,3530,32.6
45,East Lyme School District,2008-09,188,3098,6.1
47,East Windsor School District,2008-09,391,1435,27.2
253,Eastern Connecticut Regional Educational Service Center,2008-09,30,99,30.3
39,Eastford School District,2008-09,20,185,10.8
46,Easton School District,2008-09,17,1156,1.5
48,Ellington School District,2008-09,157,2634,6
